marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Games,"SSD 1TB Sata 3.0 6 GB/s Interno SanDisk Plus SDSSDA-1T00-G27 2,5 Polegadas Velocidade de Leitura Até 535 MB/s e Gravação Até 350 MB/s Preto",11,385,https://www.mercadolivre.com.br/ssd-1tb-sata-30-6-gbs-interno-sandisk-plus-sdssda-1t00-g27-25-polegadas-velocidade-de-leitura-ate-535-mbs-e-gravaco-ate-350-mbs-preto/p/MLB23032508#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=11&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974fb-2ace-11f0-896c-ef58f407f176&c_element_id=830974fb-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_836696-MLU69223186593_052023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle Playstation Dualshock 4 Berry Blue - Ps4,12,799,https://www.mercadolivre.com.br/controle-playstation-dualshock-4-berry-blue-ps4/p/MLB15085750#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=12&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974fc-2ace-11f0-896c-ef58f407f176&c_element_id=830974fc-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_663000-MLU75121026695_032024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle GameSir G7 SE com Fio para Xbox One Series S X PC Hall Effect Botões Mecânicos Cor Laranja,13,390,https://www.mercadolivre.com.br/controle-gamesir-g7-se-com-fio-para-xbox-one-series-s-x-pc-hall-effect-botoes-mecnicos-cor-laranja/p/MLB41146585#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=13&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974fd-2ace-11f0-896c-ef58f407f176&c_element_id=830974fd-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_886082-MLA79516123513_092024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Cartão De Memória 128gb Sandisk Ultra Velocidade de Leitura 100MB/s MicroSDXC Com Adaptador Sd SDSQUNR-128G-GN3MA,14,25,https://www.mercadolivre.com.br/carto-de-memoria-128gb-sandisk-ultra-velocidade-de-leitura-100mbs-microsdxc-com-adaptador-sd-sdsqunr-128g-gn3ma/p/MLB19712397#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=14&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974fe-2ace-11f0-896c-ef58f407f176&c_element_id=830974fe-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_616102-MLU78496547468_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,SSD240GB Adata 3 2.5 SU650 ASU650SS-240GT-R 240GB preto,15,165,https://www.mercadolivre.com.br/ssd240gb-adata-3-25-su650-asu650ss-240gt-r-240gb-preto/p/MLB15749699#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=15&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974ff-2ace-11f0-896c-ef58f407f176&c_element_id=830974ff-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_892218-MLU71801814925_092023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle Sem Fio Microsoft Xbox Wireless Series X|s Cor Carbon black,16,419,https://www.mercadolivre.com.br/controle-sem-fio-microsoft-xbox-wireless-series-xs-cor-carbon-black/p/MLB26089834#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=16&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097500-2ace-11f0-896c-ef58f407f176&c_element_id=83097500-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_878867-MLU78711884934_092024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,SSD m.2 2280 1TB Western Digital WD Green SN350 NVMe PCIe WDS100T3G0C Velocidade de Leitura até 3200MBs e Gravação até 2500MBs Verde,17,399,https://www.mercadolivre.com.br/ssd-m2-2280-1tb-western-digital-wd-green-sn350-nvme-pcie-wds100t3g0c-velocidade-de-leitura-ate-3200mbs-e-gravaco-ate-2500mbs-verde/p/MLB21441181#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=17&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097501-2ace-11f0-896c-ef58f407f176&c_element_id=83097501-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_966050-MLA74807973305_022024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,"Headset Gamer Evolut Eg306, Led Rainbow, Multi Plataforma Cor Preto Luz Rainbow",18,71,https://www.mercadolivre.com.br/headset-gamer-evolut-eg306-led-rainbow-multi-plataforma-cor-preto-luz-rainbow/p/MLB21050012#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=18&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097502-2ace-11f0-896c-ef58f407f176&c_element_id=83097502-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_670501-MLU77341089745_062024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Fone de ouvido Sem Fio Bluetooth C/ Microfone Recarregável Max P9 Ai Cor Preto,19,39,https://www.mercadolivre.com.br/fone-de-ouvido-sem-fio-bluetooth-c-microfone-recarregavel-max-p9-ai-cor-preto/p/MLB25915114#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=19&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097503-2ace-11f0-896c-ef58f407f176&c_element_id=83097503-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_731496-MLA83941626930_042025-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Fone De Ouvido In-ear Gamer Qkz Premium Ak6,20,42,https://www.mercadolivre.com.br/fone-de-ouvido-in-ear-gamer-qkz-premium-ak6/p/MLB38303054#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=20&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097504-2ace-11f0-896c-ef58f407f176&c_element_id=83097504-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_744956-MLU78954849624_092024-P.webp,2025-05-06 20:04:50.205833
